date,tickers
2013-04-30,"ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,ETERNAL,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,INDIGO,INDUSINDBK,INFY,IOC,ITC,JSWENERGY,JSWSTEEL,JUBLFOOD,KOTAKBANK,LODHA,LT,LTM,LUPIN,M&M,MARUTI,MINDTREE,MUTHOOTFIN,NAUKRI,NESTLEIND,NHPC,NMDC,NTPC,ONGC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SUNPHARMA,TATACONSUM,TATAMTRDVR,TATASTEEL,TCS,TECHM,TITAN,TMPV,TORNTPHARM,TRENT,TVSMOTOR,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,ZYDUSLIFE"
2013-05-31,"ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,ETERNAL,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,INDIGO,INDUSINDBK,INFY,IOC,ITC,JSWENERGY,JSWSTEEL,JUBLFOOD,KOTAKBANK,LODHA,LT,LTM,LUPIN,M&M,MARUTI,MINDTREE,MUTHOOTFIN,NAUKRI,NESTLEIND,NHPC,NMDC,NTPC,ONGC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SUNPHARMA,TATACONSUM,TATAMTRDVR,TATASTEEL,TCS,TECHM,TITAN,TMPV,TORNTPHARM,TRENT,TVSMOTOR,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,ZYDUSLIFE"
2013-06-30,"ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,ETERNAL,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,INDIGO,INDUSINDBK,INFY,IOC,ITC,JSWENERGY,JSWSTEEL,JUBLFOOD,KOTAKBANK,LODHA,LT,LTM,LUPIN,M&M,MARUTI,MINDTREE,MUTHOOTFIN,NAUKRI,NESTLEIND,NHPC,NMDC,NTPC,ONGC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SUNPHARMA,TATACONSUM,TATAMTRDVR,TATASTEEL,TCS,TECHM,TITAN,TMPV,TORNTPHARM,TRENT,TVSMOTOR,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,ZYDUSLIFE"
2013-07-31,"ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,ETERNAL,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,INDIGO,INDUSINDBK,INFY,IOC,ITC,JSWENERGY,JSWSTEEL,JUBLFOOD,KOTAKBANK,LODHA,LT,LTM,LUPIN,M&M,MARUTI,MINDTREE,MUTHOOTFIN,NAUKRI,NESTLEIND,NHPC,NMDC,NTPC,ONGC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SUNPHARMA,TATACONSUM,TATAMTRDVR,TATASTEEL,TCS,TECHM,TITAN,TMPV,TORNTPHARM,TRENT,TVSMOTOR,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,ZYDUSLIFE"
2013-08-31,"ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,ETERNAL,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,INDIGO,INDUSINDBK,INFY,IOC,ITC,JSWENERGY,JSWSTEEL,JUBLFOOD,KOTAKBANK,LODHA,LT,LTM,LUPIN,M&M,MARUTI,MINDTREE,MUTHOOTFIN,NAUKRI,NESTLEIND,NHPC,NMDC,NTPC,ONGC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SUNPHARMA,TATACONSUM,TATAMTRDVR,TATASTEEL,TCS,TECHM,TITAN,TMPV,TORNTPHARM,TRENT,TVSMOTOR,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,ZYDUSLIFE"
2013-09-30,"ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,ETERNAL,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,INDIGO,INDUSINDBK,INFY,IOC,ITC,JSWENERGY,JSWSTEEL,JUBLFOOD,KOTAKBANK,LODHA,LT,LTM,LUPIN,M&M,MARUTI,MINDTREE,MUTHOOTFIN,NAUKRI,NESTLEIND,NHPC,NMDC,NTPC,ONGC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SUNPHARMA,TATACONSUM,TATAMTRDVR,TATASTEEL,TCS,TECHM,TITAN,TMPV,TORNTPHARM,TRENT,TVSMOTOR,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,ZYDUSLIFE"
2013-10-31,"ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,ETERNAL,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,INDIGO,INDUSINDBK,INFY,IOC,ITC,JSWENERGY,JSWSTEEL,JUBLFOOD,KOTAKBANK,LODHA,LT,LTM,LUPIN,M&M,MARUTI,MINDTREE,MUTHOOTFIN,NAUKRI,NESTLEIND,NHPC,NMDC,NTPC,ONGC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SUNPHARMA,TATACONSUM,TATAMTRDVR,TATASTEEL,TCS,TECHM,TITAN,TMPV,TORNTPHARM,TRENT,TVSMOTOR,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,ZYDUSLIFE"
2013-11-30,"ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,ETERNAL,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,INDIGO,INDUSINDBK,INFY,IOC,ITC,JSWENERGY,JSWSTEEL,JUBLFOOD,KOTAKBANK,LODHA,LT,LTM,LUPIN,M&M,MARUTI,MINDTREE,MUTHOOTFIN,NAUKRI,NESTLEIND,NHPC,NMDC,NTPC,ONGC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SUNPHARMA,TATACONSUM,TATAMTRDVR,TATASTEEL,TCS,TECHM,TITAN,TMPV,TORNTPHARM,TRENT,TVSMOTOR,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,ZYDUSLIFE"
2013-12-31,"ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,ETERNAL,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,INDIGO,INDUSINDBK,INFY,IOC,ITC,JSWENERGY,JSWSTEEL,JUBLFOOD,KOTAKBANK,LODHA,LT,LTM,LUPIN,M&M,MARUTI,MINDTREE,MUTHOOTFIN,NAUKRI,NESTLEIND,NHPC,NMDC,NTPC,ONGC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SUNPHARMA,TATACONSUM,TATAMTRDVR,TATASTEEL,TCS,TECHM,TITAN,TMPV,TORNTPHARM,TRENT,TVSMOTOR,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,ZYDUSLIFE"
2014-01-31,"ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BHARTIARTL,BHEL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CHOLAFIN,CIPLA,COALINDIA,DABUR,DIVISLAB,DLF,DMART,DRREDDY,EICHERMOT,ETERNAL,GAIL,GLAND,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,INDIGO,INDUSINDBK,INFY,IOC,ITC,JSWENERGY,JSWSTEEL,JUBLFOOD,KOTAKBANK,LODHA,LT,LTM,LUPIN,M&M,MARUTI,MINDTREE,MUTHOOTFIN,NAUKRI,NESTLEIND,NHPC,NMDC,NTPC,ONGC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,POWERGRID,RELIANCE,SAIL,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SUNPHARMA,TATACONSUM,TATAMTRDVR,TATASTEEL,TCS,TECHM,TITAN,TMPV,TORNTPHARM,TRENT,TVSMOTOR,ULTRACEMCO,UNIONBANK,UNITDSPR,UPL,VEDL,WIPRO,ZYDUSLIFE"
