date,tickers
2013-04-30,"ADANIENSOL,ADANIENT,ADANIGREEN,AMBUJACEM,BAJAJHLDNG,BANDHANBNK,BANKBARODA,BHEL,BIOCON,BOSCHLTD,CHOLAFIN,DABUR,DIVISLAB,DLF,DMART,ETERNAL,GAIL,GLAND,GODREJCP,HAVELLS,ICICIGI,ICICIPRULI,INDIGO,IOC,JSWENERGY,JUBLFOOD,LODHA,LTM,LUPIN,MINDTREE,MUTHOOTFIN,NAUKRI,NHPC,NMDC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,SAIL,SHRIRAMFIN,SIEMENS,TORNTPHARM,TVSMOTOR,UNIONBANK,UNITDSPR,VEDL,ZYDUSLIFE"
2013-05-31,"ADANIENSOL,ADANIENT,ADANIGREEN,AMBUJACEM,BAJAJHLDNG,BANDHANBNK,BANKBARODA,BHEL,BIOCON,BOSCHLTD,CHOLAFIN,DABUR,DIVISLAB,DLF,DMART,ETERNAL,GAIL,GLAND,GODREJCP,HAVELLS,ICICIGI,ICICIPRULI,INDIGO,IOC,JSWENERGY,JUBLFOOD,LODHA,LTM,LUPIN,MINDTREE,MUTHOOTFIN,NAUKRI,NHPC,NMDC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,SAIL,SHRIRAMFIN,SIEMENS,TORNTPHARM,TVSMOTOR,UNIONBANK,UNITDSPR,VEDL,ZYDUSLIFE"
2013-06-30,"ADANIENSOL,ADANIENT,ADANIGREEN,AMBUJACEM,BAJAJHLDNG,BANDHANBNK,BANKBARODA,BHEL,BIOCON,BOSCHLTD,CHOLAFIN,DABUR,DIVISLAB,DLF,DMART,ETERNAL,GAIL,GLAND,GODREJCP,HAVELLS,ICICIGI,ICICIPRULI,INDIGO,IOC,JSWENERGY,JUBLFOOD,LODHA,LTM,LUPIN,MINDTREE,MUTHOOTFIN,NAUKRI,NHPC,NMDC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,SAIL,SHRIRAMFIN,SIEMENS,TORNTPHARM,TVSMOTOR,UNIONBANK,UNITDSPR,VEDL,ZYDUSLIFE"
2013-07-31,"ADANIENSOL,ADANIENT,ADANIGREEN,AMBUJACEM,BAJAJHLDNG,BANDHANBNK,BANKBARODA,BHEL,BIOCON,BOSCHLTD,CHOLAFIN,DABUR,DIVISLAB,DLF,DMART,ETERNAL,GAIL,GLAND,GODREJCP,HAVELLS,ICICIGI,ICICIPRULI,INDIGO,IOC,JSWENERGY,JUBLFOOD,LODHA,LTM,LUPIN,MINDTREE,MUTHOOTFIN,NAUKRI,NHPC,NMDC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,SAIL,SHRIRAMFIN,SIEMENS,TORNTPHARM,TVSMOTOR,UNIONBANK,UNITDSPR,VEDL,ZYDUSLIFE"
2013-08-31,"ADANIENSOL,ADANIENT,ADANIGREEN,AMBUJACEM,BAJAJHLDNG,BANDHANBNK,BANKBARODA,BHEL,BIOCON,BOSCHLTD,CHOLAFIN,DABUR,DIVISLAB,DLF,DMART,ETERNAL,GAIL,GLAND,GODREJCP,HAVELLS,ICICIGI,ICICIPRULI,INDIGO,IOC,JSWENERGY,JUBLFOOD,LODHA,LTM,LUPIN,MINDTREE,MUTHOOTFIN,NAUKRI,NHPC,NMDC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,SAIL,SHRIRAMFIN,SIEMENS,TORNTPHARM,TVSMOTOR,UNIONBANK,UNITDSPR,VEDL,ZYDUSLIFE"
2013-09-30,"ADANIENSOL,ADANIENT,ADANIGREEN,AMBUJACEM,BAJAJHLDNG,BANDHANBNK,BANKBARODA,BHEL,BIOCON,BOSCHLTD,CHOLAFIN,DABUR,DIVISLAB,DLF,DMART,ETERNAL,GAIL,GLAND,GODREJCP,HAVELLS,ICICIGI,ICICIPRULI,INDIGO,IOC,JSWENERGY,JUBLFOOD,LODHA,LTM,LUPIN,MINDTREE,MUTHOOTFIN,NAUKRI,NHPC,NMDC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,SAIL,SHRIRAMFIN,SIEMENS,TORNTPHARM,TVSMOTOR,UNIONBANK,UNITDSPR,VEDL,ZYDUSLIFE"
2013-10-31,"ADANIENSOL,ADANIENT,ADANIGREEN,AMBUJACEM,BAJAJHLDNG,BANDHANBNK,BANKBARODA,BHEL,BIOCON,BOSCHLTD,CHOLAFIN,DABUR,DIVISLAB,DLF,DMART,ETERNAL,GAIL,GLAND,GODREJCP,HAVELLS,ICICIGI,ICICIPRULI,INDIGO,IOC,JSWENERGY,JUBLFOOD,LODHA,LTM,LUPIN,MINDTREE,MUTHOOTFIN,NAUKRI,NHPC,NMDC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,SAIL,SHRIRAMFIN,SIEMENS,TORNTPHARM,TVSMOTOR,UNIONBANK,UNITDSPR,VEDL,ZYDUSLIFE"
2013-11-30,"ADANIENSOL,ADANIENT,ADANIGREEN,AMBUJACEM,BAJAJHLDNG,BANDHANBNK,BANKBARODA,BHEL,BIOCON,BOSCHLTD,CHOLAFIN,DABUR,DIVISLAB,DLF,DMART,ETERNAL,GAIL,GLAND,GODREJCP,HAVELLS,ICICIGI,ICICIPRULI,INDIGO,IOC,JSWENERGY,JUBLFOOD,LODHA,LTM,LUPIN,MINDTREE,MUTHOOTFIN,NAUKRI,NHPC,NMDC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,SAIL,SHRIRAMFIN,SIEMENS,TORNTPHARM,TVSMOTOR,UNIONBANK,UNITDSPR,VEDL,ZYDUSLIFE"
2013-12-31,"ADANIENSOL,ADANIENT,ADANIGREEN,AMBUJACEM,BAJAJHLDNG,BANDHANBNK,BANKBARODA,BHEL,BIOCON,BOSCHLTD,CHOLAFIN,DABUR,DIVISLAB,DLF,DMART,ETERNAL,GAIL,GLAND,GODREJCP,HAVELLS,ICICIGI,ICICIPRULI,INDIGO,IOC,JSWENERGY,JUBLFOOD,LODHA,LTM,LUPIN,MINDTREE,MUTHOOTFIN,NAUKRI,NHPC,NMDC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,SAIL,SHRIRAMFIN,SIEMENS,TORNTPHARM,TVSMOTOR,UNIONBANK,UNITDSPR,VEDL,ZYDUSLIFE"
2014-01-31,"ADANIENSOL,ADANIENT,ADANIGREEN,AMBUJACEM,BAJAJHLDNG,BANDHANBNK,BANKBARODA,BHEL,BIOCON,BOSCHLTD,CHOLAFIN,DABUR,DIVISLAB,DLF,DMART,ETERNAL,GAIL,GLAND,GODREJCP,HAVELLS,ICICIGI,ICICIPRULI,INDIGO,IOC,JSWENERGY,JUBLFOOD,LODHA,LTM,LUPIN,MINDTREE,MUTHOOTFIN,NAUKRI,NHPC,NMDC,PAYTM,PEL,PGHH,PIDILITIND,PIIND,PNB,SAIL,SHRIRAMFIN,SIEMENS,TORNTPHARM,TVSMOTOR,UNIONBANK,UNITDSPR,VEDL,ZYDUSLIFE"
