SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE
JINDLFERRO,Jindal Ferro Alloys Limited,EQ,Div 30%/Bonus - 1:1,10,4-Jan-95,-,20-Jan-95,24-Jan-95
AMRUTIND,Amrut Industries Limited,EQ,Agm,10,22-Feb-95,-,14-Mar-95,23-Mar-95
TRIVENIENG,Triveni Engineering Works Limited,EQ,Div 18%,10,8-Mar-95,-,28-Mar-95,29-Mar-95
BROOKBOND,Brooke Bond Lipton India Limited,EQ,Div - 30%,10,12-Apr-95,-,25-Apr-95,15-May-95
INDOFREBIO,Indo-French Biotech Enterprise Limited,EQ,Div,10,19-Apr-95,-,3-May-95,18-May-95
CHEMOXSEC,Chemox Securities Limited,EQ,Div 20%,10,3-May-95,-,25-May-95,31-May-95
CROSLANDS,Croslands Research Laboratories Limited,EQ,Div,10,3-May-95,-,26-May-95,31-May-95
PFIMXPHARM,Pfimex Pharmaceuticals Limited,EQ,Div 10%,10,10-May-95,-,1-Jun-95,10-Jun-95
BHARATPIPE,Bharat Pipes and Fittings Limited,EQ,Div 15%,10,17-May-95,-,9-Jun-95,19-Jun-95
KHAIHOSTOM,KHSL Industries Limited,EQ,Div 30%,10,24-May-95,-,16-Jun-95,28-Jun-95
ATASHIND,Atash Industries Limited,EQ,Div 6%,10,31-May-95,-,21-Jun-95,30-Jun-95
MCLEODRUS,Mcleod Russel India Limited,EQ,-,10,14-Jun-95,-,6-Jul-95,27-Jul-95
RENCOGEAR,Renco Gears Limited,EQ,Rights/2:5/Prem Of Rs 30,10,21-Jun-95,-,11-Jul-95,20-Jul-95
ROYALENFLD,Royal Enfield Motors Limited,EQ,Div 15%,10,21-Jun-95,-,15-Jul-95,29-Jul-95
ATVPROJ,ATV Projects India Limited,EQ,Div 22.5%,10,28-Jun-95,-,18-Jul-95,17-Aug-95
SANDOZ,Sandoz (India) Limited,EQ,Div,10,12-Jul-95,-,4-Aug-95,24-Aug-95
EICHERTRAC,Eicher Tractors Limited,EQ,Div 18%,10,12-Jul-95,-,1-Aug-95,12-Aug-95
CRBCORP,CRB Corporation Limited,EQ,Div/Agm,10,12-Jul-95,-,7-Aug-95,16-Aug-95
CRBCAPS,CRB Cap Markets Limited,EQ,Agm/Div,10,12-Jul-95,-,7-Aug-95,16-Aug-95
ASIANCABLE,Asian Cables & Industries Limited,EQ,Div,10,26-Jul-95,-,17-Aug-95,8-Sep-95
DATAPROINF,Datapro Information Technology Limited,EQ,-,10,2-Aug-95,-,24-Aug-95,31-Aug-95
SCICI,SCICI Limited,EQ,Div 25%/Bonus 1:2/Rights 1:2,10,2-Aug-95,-,22-Aug-95,12-Sep-95
ORKAY,Orkay Industries Limited,EQ,Agm,10,2-Aug-95,-,29-Aug-95,25-Sep-95
YOGOPHARM,Yogi Pharmacy Limited,EQ,Div-10%,10,2-Aug-95,-,22-Aug-95,30-Aug-95
ORTONSYNTH,Orton Synthetics Limited,EQ,Div,10,9-Aug-95,-,1-Sep-95,14-Sep-95
UPCOMCABLE,Upcom Cables Limited,EQ,-,10,9-Aug-95,-,1-Sep-95,18-Sep-95
MADRASMFIN,Madras Motor Finance and Guarantee,EQ,Agm,10,9-Aug-95,-,1-Sep-95,22-Sep-95
SKSIND,SKS Limited,EQ,Div 20%,10,9-Aug-95,-,5-Sep-95,20-Sep-95
STERLITCOM,Sterlite Communication Limited,EQ,Agm,10,16-Aug-95,-,8-Sep-95,28-Sep-95
GRAPCOGRAN,Grapco Industries Limited,EQ,Div,10,23-Aug-95,-,16-Sep-95,28-Sep-95
GRAMPHONCO,Gramophone Company of India Limited,EQ,-,10,23-Aug-95,-,18-Sep-95,29-Sep-95
MACIND,MAC Industries Limited,EQ,Div-25%,10,23-Aug-95,-,16-Sep-95,28-Sep-95
HIMACHTELE,Himachal Telematics Limited,EQ,Div 15%,10,23-Aug-95,-,12-Sep-95,21-Sep-95
GRAPCOMIN,Grapco Mining and Company Limited,EQ,Div-15%,10,23-Aug-95,-,16-Sep-95,22-Sep-95
INOVATMARN,Innovative Marine Foods Limited,EQ,Agm,10,23-Aug-95,-,14-Sep-95,26-Sep-95
KINGSINTL,Kings International Aqua Marine Exports Limited,EQ,Agm,10,23-Aug-95,-,15-Sep-95,25-Sep-95
CELESTE,Celeste International Limited,EQ,-,10,23-Aug-95,-,16-Sep-95,23-Sep-95
PANASIGLOB,Pan Asia Global Limited,EQ,Div,10,23-Aug-95,-,16-Sep-95,19-Sep-95
TRIVENSHET,Triveni Sheet  Glassworks Limited,EQ,Div 32%,10,23-Aug-95,-,15-Sep-95,29-Sep-95
SANDERIND,Sanderson Industries Limited,EQ,Div 12%,10,23-Aug-95,-,18-Sep-95,29-Sep-95
SUMITRAPHA,Sumitra Pharmaceuticals & Chemicals Limited,EQ,Agm,10,23-Aug-95,-,16-Sep-95,30-Sep-95
GANAPATEXP,Ganapati Exports Limited,EQ,Div-20%,10,23-Aug-95,-,16-Sep-95,19-Sep-95
NORTHSUG,Northland Sugar Complex Limited,EQ,-,10,23-Aug-95,-,16-Sep-95,30-Sep-95
MODRNSYNTX,Modern Syntex (India) Limited,EQ,Div-25%,10,30-Aug-95,-,25-Sep-95,30-Sep-95
KUSUMINGOT,Kusum Ingots and Alloys Limited,EQ,Agm,10,30-Aug-95,-,20-Sep-95,29-Sep-95
WESTINDIA,Western India Industries Limited,EQ,Agm/Div-25%,10,30-Aug-95,-,20-Sep-95,28-Sep-95
SOMKMARINE,Somkan Marine Foods Limited,EQ,Agm,10,30-Aug-95,-,30-Sep-95,-
ADITYASPIN,Aditya Spinners Limited,EQ,-,10,30-Aug-95,-,21-Sep-95,23-Sep-95
KHATJUNKER,Indokem Limited,EQ,Div,10,30-Aug-95,-,20-Sep-95,26-Sep-95
BIHARALLOY,Umi Special Steel Limited,EQ,-,10,30-Aug-95,-,21-Sep-95,28-Sep-95
ESCORTTRAC,Escorts Tractors Limited,EQ,Div-35%,10,30-Aug-95,-,21-Sep-95,23-Sep-95
KESARENT,Kesar Enterprises Limited,EQ,Agm/Div-30%,10,30-Aug-95,-,25-Sep-95,29-Sep-95
KANAKSTEEL,Kanakdhara Steel Limited,EQ,-,10,30-Aug-95,-,22-Sep-95,28-Sep-95
FISHFALCON,Fishing Falcons Limited,EQ,Agm,10,6-Sep-95,-,29-Sep-95,30-Sep-95
JAYBUSMAC,Jayanti Business Machines Limited,EQ,Agm,10,6-Sep-95,-,26-Sep-95,30-Sep-95
UNIMIN,Unimin India Limited,EQ,-,10,6-Sep-95,-,26-Sep-95,30-Sep-95
DHARNENIND,Dharnendra Industries Limited,EQ,Agm,10,6-Sep-95,-,26-Sep-95,30-Sep-95
VINYOGCLOT,Viniyoga Clothex Limited,EQ,Agm,10,6-Sep-95,-,28-Sep-95,30-Sep-95
BURRBROWN,Burr Brown (I) Limited,EQ,Agm,10,13-Sep-95,-,5-Oct-95,10-Oct-95
GORDONHERB,Gordon Herbert Limited,EQ,Agm,10,13-Sep-95,-,5-Oct-95,10-Oct-95
NATCOLABS,Natco Laboratories Limited,EQ,Agm,10,20-Sep-95,-,17-Oct-95,20-Oct-95
HBPORT,HB Stockholdings Limited,EQ,Agm/Div 30%,10,20-Sep-95,-,18-Oct-95,15-Nov-95
ADARSHCHEM,Adarsh Chemicals and Fertilizers Limited,EQ,Agm,10,27-Sep-95,-,27-Oct-95,31-Oct-95
HERDIOXIDE,Herdillia Oxides and Electro Limited,EQ,Agm,10,25-Oct-95,-,15-Nov-95,24-Nov-95
PERMAGNET,Permanent Magnets Limited,EQ,Agm,10,1-Nov-95,-,24-Nov-95,28-Nov-85
DELTAIND,Delta Industries Limited,EQ,Div 20%,10,8-Nov-95,-,1-Dec-95,20-Dec-95
DENMURFAX,Denmur Fax Roll Limited,EQ,Agm,10,8-Nov-95,-,30-Nov-95,7-Dec-95
ASIANCONSO,Asian Consolidated Industries Limited,EQ,Agm,10,22-Nov-95,-,18-Dec-95,28-Dec-95
INDTRADECO,Ind Tra Deco Limited,EQ,Agm,10,22-Nov-95,-,12-Dec-95,19-Dec-95
ENKAYTEXO,Enkay Texofood Industries Limited,EQ,Div,10,22-Nov-95,-,16-Dec-95,23-Dec-95
HYTSNMAGNT,Hytaisun Magentics Limited,EQ,Agm,10,22-Nov-95,-,14-Dec-95,28-Dec-95
AKGACOUST,AKG Acoustics (I) Limited,EQ,Agm,10,29-Nov-95,-,25-Dec-95,30-Dec-95
NIHONIRMAN,Nihon Nirmaan Limited,EQ, Agm,10,29-Nov-95,-,21-Dec-95,29-Dec-95
WESTNPAQUE,Western Paques (India) Limited,EQ,Agm/Div,10,29-Nov-95,-,22-Dec-95,27-Dec-95
VIKRAMPROJ,Vikram Projects Limited,EQ,-,10,29-Nov-95,-,21-Dec-95,30-Dec-95
ESTWSTRAV,East West Travel & Trade Links Limited,EQ,Agm,10,29-Nov-95,-,21-Dec-95,27-Dec-95
INERTIAIND,Inertia Industries Limited,EQ,Div 2%,10,6-Dec-95,-,26-Dec-95,29-Dec-95
MAFATLASPG,Mafatlal Fine Spinning and Manufacturig Limited,EQ,Agm,100,6-Dec-95,-,27-Dec-95,30-Dec-95
MSSHOES,MS Shoes East Limited,EQ,-,10,18-Dec-95,-,20-Dec-95,31-Dec-95
KITSTEEL,Kitti Steels Limited,EQ,Div 15%,10,19-Dec-95,-,28-Dec-95,30-Dec-95
JINDLFERRO,Jindal Ferro Alloys Limited,EQ,Div-30%,10,27-Dec-95,-,16-Jan-96,30-Jan-96
AGRIHATCH,Agritech Hatcheries & Foods Limited,EQ,Agm,10,31-Jan-96,-,26-Feb-96,29-Feb-96
TRIVENIOIL,Triveni Oil Field Services Limited,EQ,Div-,10,7-Feb-96,-,28-Feb-96,4-Mar-96
ESTCSTSTEL,East Coast Steel Limited,EQ,Agm,10,21-Feb-96,-,15-Mar-96,22-Mar-96
VDONARMAD,Videocon Narmada Electronics Limited,EQ,-,10,28-Feb-96,-,21-Mar-96,30-Mar-96
NIRAJPETRO,Niraj Petrochemicals Limited,EQ,Agm,10,28-Feb-96,-,26-Mar-96,29-Mar-96
APOLLOTUBE,Apollo Tubes Limited,EQ,-,10,28-Feb-96,-,25-Mar-96,29-Mar-96
EARNHEALTH,Earnest Healthcare Limited,EQ,Agm / Div-15%,10,28-Feb-96,-,21-Mar-96,30-Mar-96
ALTOS,Altos (I) Limited,EQ,Agm/Div-35%,10,28-Feb-96,-,26-Mar-96,30-Mar-96
TVSWHIRL,Whirlpool Washing Machines Limited,EQ,Agm,10,6-Mar-96,-,1-Apr-96,10-Apr-96
MONTARIND,Montari Industries Limited,EQ,Agm,10,13-Mar-96,-,30-Mar-96,30-Mar-96
VEGPROFOOD,Vegepro Foods and Feeds Limited,EQ,Agm,10,20-Mar-96,-,15-Apr-96,26-Apr-96
MRINALDYE,Mrinal Dyeing & Manufacturing Company Limited,EQ,Agm/Div - 5%,10,3-Apr-96,-,23-Apr-96,25-Apr-96
BROOKBOND,Brooke Bond Lipton India Limited,EQ,Agm/Div-35%,10,3-Apr-96,-,23-Apr-96,13-May-96
SIMBHALSUG,Simbhaoli Sugar Mills Limited,EQ,-,10,3-Apr-96,-,25-Apr-96,27-Apr-96
LEENATEX,Leena Textiles Limited,EQ,Agm,10,10-Apr-96,-,1-May-96,3-May-96
CROSLANDS,Croslands Research Laboratories Limited,EQ,-,10,1-May-96,-,27-May-96,31-May-96
MICROPLANT,Micro Plantae Limited,EQ,Div-15%,10,8-May-96,-,1-Jun-96,8-Jun-96
SCICI,SCICI Limited,EQ,Div-25%,10,8-May-96,-,4-Jun-96,21-Jun-96
MODIOLIVET,Modi Olivetti Limited,EQ,Agm,10,15-May-96,-,3-Jun-96,5-Jun-96
AMRUTIND,Amrut Industries Limited,EQ,Div @ 16%,10,15-May-96,-,10-Jun-96,21-Jun-96
BHARATPIPE,Bharat Pipes and Fittings Limited,EQ,Agm,10,22-May-96,-,13-Jun-96,27-Jun-96
TRIVENIOIL,Triveni Oil Field Services Limited,EQ,Amalgamation With Tewl . To Be Suspended.,10,29-May-96,-,25-Jun-96,25-Jun-96
TRIVENIENG,Triveni Engineering Works Limited,EQ,Amalgamation With Tosl. To Be Suspended. Rd Stands Cancelled,10,29-May-96,-,25-Jun-96,25-Jun-96
PFIMXPHARM,Pfimex Pharmaceuticals Limited,EQ,Agm (Date Revised),10,29-May-96,-,16-Jul-96,20-Jul-96
PCL,Pertech Computers Limited,EQ,Dividend,10,29-May-96,-,22-Jun-96,28-Jun-96
AKGACOUST,AKG Acoustics (I) Limited,EQ,Agm,10,12-Jun-96,-,24-Jun-96,28-Jun-96
PSIDATALTD,PSI Data Systems Limited,EQ,Agm (Start Date Revised),10,19-Jun-96,-,16-Jul-96,26-Jul-96
HINDCIBA,Hindustan Ciba-Geigy Limited,EQ,Dividend - 22%/Pref. Offer  Preferential Offering Of Ciba Ckd Biochem Ltd. (Purpose Revised),100,19-Jun-96,-,1-Aug-96,16-Aug-96
UNITEDCARB,Cabot India Limited,EQ,Agm,100,19-Jun-96,-,12-Jul-96,26-Jul-96
MAXORCHARD,Maxworth Orchards (I) Limited,EQ,Dividend - 12%,10,10-Jul-96,-,1-Aug-96,19-Aug-96
ASIANCABLE,Asian Cables & Industries Limited,EQ,Dividend -  22%,10,17-Jul-96,-,13-Aug-96,27-Aug-96
KIRLOSELEC,Kirloskar Electrodyne Limited,EQ,Agm,10,17-Jul-96,-,13-Aug-96,21-Aug-96
FULLERKCP,Fuller India Limited,EQ,Dividend - 40%,10,24-Jul-96,-,17-Aug-96,29-Aug-96
BOROGLASS,Borosil Glass Works Limited,EQ,Dividend - 30% (Purpose Revised),10,24-Jul-96,-,20-Aug-96,29-Aug-96
JINDALDRUG,Jindal Drugs Limited,EQ,Dividend -3.25%,10,24-Jul-96,-,16-Aug-96,26-Aug-96
MCLEODRUS,Mcleod Russel India Limited,EQ, Dividend - 45% (Purpose Revised),10,24-Jul-96,-,16-Aug-96,26-Aug-96
CHEMOXSEC,Chemox Securities Limited,EQ,Agm/Dividend - 20%,10,24-Jul-96,-,18-Aug-96,28-Aug-96
GEEKAYEXIM,Geekay Exim (I) Limited,EQ,Agm/Dividend - 20% (Start Date Revised),10,24-Jul-96,-,17-Aug-96,23-Aug-96
OVERSANMAR,Overseas Sanmar Financial Limited,EQ,Dividend - 20%,10,24-Jul-96,-,20-Aug-96,26-Aug-96
ZENITHLTD,Zenith Limited,EQ,Agm,10,24-Jul-96,-,18-Aug-96,20-Aug-96
SHIVAJWORK,Shivaji Works Limited,EQ,Agm,10,24-Jul-96,-,17-Aug-96,24-Aug-96
CRBCAPS,CRB Cap Markets Limited,EQ,Nil,10,24-Jul-96,-,16-Aug-96,26-Aug-96
CRBCORP,CRB Corporation Limited,EQ,Nil,10,24-Jul-96,-,16-Aug-96,26-Aug-96
SNEHAIND,Snehadhara Industries Limited,EQ,Agm,10,24-Jul-96,-,16-Aug-96,30-Aug-96
USHAMARTIN,Usha Martin Industries Limited,EQ,Dividend - 27%,10,31-Jul-96,-,22-Aug-96,11-Sep-96
MAZDALEASE,Mazda Industries & Leasing Limited,EQ,Agm,10,31-Jul-96,-,27-Aug-96,31-Aug-96
SBIMAGEX91,SBI Magnum Express 91,EQ,Nil,10,31-Jul-96,-,27-Aug-96,25-Sep-96
WYETHLAB,Wyeth Laboratories Limited,EQ,Agm/Dividend - 40% (Date/Dividend % Revised),10,31-Jul-96,-,27-Aug-96,12-Sep-96
SVADMILLS,Svadeshi Mills Company Limited,EQ,Agm,10,7-Aug-96,-,2-Sep-96,9-Sep-96
VIRALFILA,Viral Filaments Limited,EQ,Dividend - 28 %          [Purpose Revised],10,7-Aug-96,-,31-Aug-96,20-Sep-96
VIRALSYNTX,Viral Syntex Limited,EQ,Dividend - 18 %          [Purpose Revised],10,7-Aug-96,-,31-Aug-96,20-Sep-96
BENGALTEA,Bengal Tea and Fabrics Limited,EQ,Agm,10,7-Aug-96,-,2-Sep-96,13-Sep-96
ISWARMEDIC,Ishwar Medical Services Limited,EQ,Agm/Bonus 1:1            [Date Type Revised],10,7-Aug-96,-,21-Sep-96,30-Sep-96
ATVPROJ,ATV Projects India Limited,EQ,Agm/Dividend - Nil       [Purpose Revised],10,7-Aug-96,-,3-Sep-96,30-Sep-96
GULFOILCOR,Gulf Oil Corporation Limited,EQ,Dividend -18%,2,7-Aug-96,-,2-Sep-96,18-Sep-96
STEELCOGUJ,Steelco Gujarat Limited,EQ,Agm,10,7-Aug-96,-,3-Sep-96,12-Sep-96
UPCOMCABLE,Upcom Cables Limited,EQ,Dividend - 15%,10,7-Aug-96,-,30-Aug-96,9-Sep-96
WELDFLUX,UBE Industries Limited,EQ,Agm ,10,7-Aug-96,-,2-Sep-96,26-Sep-96
REILPROD,REIL Products Limited,EQ,Agm,10,7-Aug-96,-,1-Sep-96,27-Sep-96
MAHAGRO,Mahadev Industries Limited,EQ,Dividend - Nil           (Purpose Revised),10,7-Aug-96,-,30-Aug-96,7-Sep-96
JAYBUSMAC,Jayanti Business Machines Limited,EQ,Agm,10,7-Aug-96,-,3-Sep-96,30-Sep-96
ELBEE,Elbee Services Limited,EQ,Dividend - 25%,10,7-Aug-96,-,30-Aug-96,27-Sep-96
CYNAMID,Wyeth Lederle Limited,EQ,Dividend -60%,10,14-Aug-96,-,6-Sep-96,27-Sep-96
SANDOZ,Sandoz (India) Limited,EQ,Dividend - 25% (Currently Suspended),10,14-Aug-96,-,9-Sep-96,20-Sep-96
PATHEJAFOR,Patheja Forgings & Auto Parts Manufacturers Limited,EQ,Dividend - 20%,10,21-Aug-96,-,18-Sep-96,25-Sep-96
SATYAMCEM,Satyam Cements Limited,EQ,Agm,10,21-Aug-96,-,16-Sep-96,25-Sep-96
LABHCONST,Labh Construction Limited,EQ,Dividend - 20%,10,21-Aug-96,-,13-Sep-96,25-Sep-96
MAXORCHARD,Maxworth Orchards (I) Limited,EQ,Dividend - 12% (Date Revised),10,21-Aug-96,-,16-Sep-96,24-Sep-96
PASUPATSPG,Pashupati Spinning and Weaving Mills Limited,EQ,Agm/Dividend - 25 %      [Purpose Revised],10,21-Aug-96,-,16-Sep-96,30-Sep-96
VIBRANTINV,Vibrant  Investment and Properties Limited,EQ,Agm/Dividend - 10 %,10,21-Aug-96,-,18-Sep-96,30-Sep-96
MODICEMENT,Modi Cement Limited,EQ,Dividend - Nil,10,21-Aug-96,-,18-Sep-96,26-Sep-96
BALURTRANS,Balurghat Technologies Limited,EQ,Agm,10,21-Aug-96,-,12-Sep-96,27-Sep-96
MADHUSYNTX,Madhumilan Syntex Limited,EQ,-,10,21-Aug-96,-,17-Sep-96,23-Sep-96
ELECTRA,Electra (I) Limited,EQ,Nil,10,21-Aug-96,-,17-Sep-96,24-Sep-96
VARUNSEA,Varun Seacon Limited,EQ,Dividend - Nil (Start Date Revised),10,21-Aug-96,-,20-Sep-96,26-Sep-96
TATIASKYLN,Tatia Skylines and Health Farms Limited,EQ,Agm,10,21-Aug-96,-,14-Sep-96,27-Sep-96
SHARDATERY,Sharda Terry Products Limited,EQ,Agm,10,21-Aug-96,-,17-Sep-96,25-Sep-96
SISHIPPING,South India Shipping Corporation Limited,EQ,Agm/Dividend - 25%       [Start Date Revised],10,21-Aug-96,-,18-Sep-96,27-Sep-96
RAMAVISION,Rama Vision Limited,EQ,Agm (Start Date Revised),10,21-Aug-96,-,17-Sep-96,30-Sep-96
RAJSREPOLY,Rajashree Polyfils Limited,EQ,Nil,10,21-Aug-96,-,14-Sep-96,26-Sep-96
VIKASHYB,Vhel Industries Limited,EQ,Agm/Dividend - 25 % [Purpose Revised],10,21-Aug-96,-,16-Sep-96,27-Sep-96
ALSAMARINE,Alsa Marine and Harvests Limited,EQ,Dividend - 10%,10,21-Aug-96,-,17-Sep-96,26-Sep-96
INTEGRFIN,Integrated Finance Limited,EQ,Dividend - 20%,10,21-Aug-96,-,18-Sep-96,25-Sep-96
INOX,Industrial Oxygen Company Limited,EQ,Dividend,10,21-Aug-96,-,17-Sep-96,24-Sep-96
PICCADSUG,Piccadilly Sugar and Allied Industries Limited,EQ,Agm,10,21-Aug-96,-,16-Sep-96,30-Sep-96
LEENATEX,Leena Textiles Limited,EQ,Agm,10,21-Aug-96,-,12-Sep-96,19-Sep-96
LDTEXT,LD Textiles Industries Limited,EQ,Nil,10,21-Aug-96,-,17-Sep-96,25-Sep-96
MACIND,MAC Industries Limited,EQ,Dividend - 25%,10,21-Aug-96,-,16-Sep-96,27-Sep-96
ITCCLASSIC,ITC Classic Finance Limited,EQ,Dividend - 30%,10,21-Aug-96,-,12-Sep-96,26-Sep-96
JALANFORG,Jalan Forgings Limited,EQ,Agm,10,28-Aug-96,-,20-Sep-96,28-Sep-96
CTCOTTON,CT Cotton Yarn  Limited,EQ,Dividend - 10%,10,28-Aug-96,-,24-Sep-96,27-Sep-96
AMARDYCHEM,Amar Dyechem Limited,EQ,Nil ,100,28-Aug-96,-,20-Sep-96,27-Sep-96
ADITYASPIN,Aditya Spinners Limited,EQ,Agm,10,28-Aug-96,-,25-Sep-96,28-Sep-96
JAYASWLNEC,Jayaswals Neco Limited,EQ,Dividend - 15 % / Agm,10,28-Aug-96,-,16-Sep-96,30-Sep-96
SHARTSEFOD,Sharat Industries Limited,EQ,Agm,10,28-Aug-96,-,24-Sep-96,28-Sep-96
VINYOGCLOT,Viniyoga Clothex Limited,EQ,Agm,10,28-Aug-96,-,23-Sep-96,30-Sep-96
AVONIND,Avon Industries Limited,EQ,Agm (Date Revised),10,28-Aug-96,-,20-Sep-96,30-Sep-96
SOMKMARINE,Somkan Marine Foods Limited,EQ,Agm,10,28-Aug-96,-,23-Sep-96,27-Sep-96
KESARENT,Kesar Enterprises Limited,EQ,Agm/Dividend - Nil       [Purpose Revised],10,28-Aug-96,-,20-Sep-96,18-Oct-96
DATAPROINF,Datapro Information Technology Limited,EQ,Agm,10,28-Aug-96,-,21-Sep-96,28-Sep-96
NAGPURALOY,Nagpur Alloy Castings Limited,EQ,Agm/Dividend - 15 %      [Purpose Revised],10,28-Aug-96,-,16-Sep-96,30-Sep-96
KINGSINTL,Kings International Aqua Marine Exports Limited,EQ,Agm,10,28-Aug-96,-,18-Sep-96,20-Sep-96
SUVARNAQUA,Suvarna Aqua Farms and Exports Limited,EQ,Nil,10,28-Aug-96,-,24-Sep-96,27-Sep-96
GUJCOTEX,Gujarat Cotex Limited,EQ,Agm [Start/End Date      Revised],10,28-Aug-96,-,18-Oct-96,25-Oct-96
