SYMBOL,SERIES,DATE,OPEN,HIGH,LOW,CLOSE,LAST,PREV_CLOSE,VOLUME,TURNOVER,TRADES,ISIN,DELIV_QTY,DELIV_PER,SOURCE
1018GS2026,GS,2026-09-02,105.0,105.0,104.6,104.6,104.6,104.6,16,2000.0,2,,16.0,100.0,new
20MICRONS,EQ,2026-09-02,212.0,216.39,207.0,211.36,212.56,213.0,90223,19118000.0,3513,,39404.0,43.67,new
21STCENMGM,EQ,2026-09-02,40.39,40.39,38.81,38.85,39.38,39.6,5812,227000.0,73,,5284.0,90.92,new
360ONE,EQ,2026-09-02,1156.4,1181.3,1128.6,1181.3,1181.3,1165.6,666823,765775000.0,29892,,356593.0,53.48,new
3BBLACKBIO,EQ,2026-09-02,1528.5,1588.9,1469.1,1478.6,1478.9,1523.5,50928,78640000.0,5115,,28458.0,55.88,new
3IINFOLTD,BE,2026-09-02,22.8,22.99,22.01,22.43,22.4,22.67,131772,2932000.0,656,,,,new
3MINDIA,EQ,2026-09-02,33205.0,33290.0,32805.0,32895.0,32805.0,33315.0,1858,61178000.0,1240,,1164.0,62.65,new
3PLAND,EQ,2026-09-02,31.8,33.97,31.51,32.75,32.75,31.8,911,28999.999999999996,55,,876.0,96.16,new
574GS2026,GS,2026-09-02,101.05,101.05,101.05,101.05,101.05,101.03,1,0.0,1,,1.0,100.0,new
591GS2028,GS,2026-09-02,99.71,99.78,99.7,99.78,99.78,99.7,3760,375000.0,6,,3760.0,100.0,new
5PAISA,EQ,2026-09-02,344.25,344.8,335.0,336.55,337.95,344.85,26993,9157000.0,1671,,15611.0,57.83,new
601GS2030,GS,2026-09-02,99.0,99.0,99.0,99.0,99.0,99.0,100,10000.0,2,,100.0,100.0,new
603GS2029,GS,2026-09-02,98.81,98.81,98.5,98.5,98.5,99.0,5000,494000.00000000006,3,,5000.0,100.0,new
610GS2031,GS,2026-09-02,99.99,99.99,99.0,99.0,99.0,99.99,3003,298000.0,5,,1502.0,50.02,new
620GS2029,GS,2026-09-02,99.79,100.0,99.5,99.98,100.0,99.8,1056,105000.0,7,,1055.0,99.91,new
628GS2032,GS,2026-09-02,99.5,99.5,99.5,99.5,99.5,97.85,9349,930000.0000000001,2,,9349.0,100.0,new
636GS2031,GS,2026-09-02,100.0,100.0,100.0,100.0,100.0,100.0,1,0.0,1,,1.0,100.0,new
63MOONS,EQ,2026-09-02,777.75,820.0,775.0,805.1,803.5,775.55,444235,354647000.0,17298,,194725.0,43.83,new
645GS2029,GS,2026-09-02,103.2,103.2,103.2,103.2,103.2,101.6,1,0.0,1,,1.0,100.0,new
667GS2050,GS,2026-09-02,92.1,92.25,92.1,92.25,92.25,92.25,5339,492000.0,6,,5339.0,100.0,new
668GS2040,GS,2026-09-02,98.25,98.25,97.93,97.93,97.93,97.89,442,43000.0,4,,442.0,100.0,new
676GS2061,GS,2026-09-02,90.9,90.9,90.4,90.79,90.79,90.74,125937,11402000.0,47,,122033.0,96.9,new
690GS2065,GS,2026-09-02,93.6,93.6,93.0,93.48,93.48,93.7,101928,9519000.0,49,,101024.0,99.11,new
692GS2039,GS,2026-09-02,99.0,99.0,99.0,99.0,99.0,100.0,110,11000.0,1,,110.0,100.0,new
694GS2036,GS,2026-09-02,102.65,102.65,101.62,102.4,102.4,102.65,1300,133000.0,4,,1300.0,100.0,new
695GS2061,GS,2026-09-02,93.0,93.01,92.3,93.0,93.0,93.4,6901,640000.0,5,,6901.0,100.0,new
698GR2054,GS,2026-09-02,93.1,93.1,93.1,93.1,93.1,95.0,100,9000.0,1,,100.0,100.0,new
702GS2027,GS,2026-09-02,103.0,103.0,103.0,103.0,103.0,102.4,2010,206999.99999999997,2,,2010.0,100.0,new
706GS2028,GS,2026-09-02,104.0,104.2,103.61,104.2,104.2,104.34,4560,474000.0,4,,4560.0,100.0,new
706GS2041,GS,2026-09-02,100.25,100.5,99.25,99.25,99.25,100.25,6775,680000.0,9,,6775.0,100.0,new
709GS2054,GS,2026-09-02,96.0,96.0,95.6,95.65,95.65,95.7,11163,1069000.0,13,,11162.0,99.99,new
709GS2074,GS,2026-09-02,95.85,95.85,95.3,95.5,95.5,95.25,9285,886999.9999999999,29,,8775.0,94.51,new
710GS2029,GS,2026-09-02,104.16,104.45,104.15,104.3,104.3,104.17,25148,2622000.0,8,,25148.0,100.0,new
716GS2050,GS,2026-09-02,102.0,102.0,102.0,102.0,102.0,101.0,450,46000.0,1,,450.0,100.0,new
718GS2037,GS,2026-09-02,102.31,103.82,102.25,102.27,102.5,104.0,76402,7814000.0,26,,75700.0,99.08,new
724GS2055,GS,2026-09-02,97.11,97.2,96.92,97.15,97.15,97.35,144021,13974000.0,94,,144021.0,100.0,new
725GS2063,GS,2026-09-02,97.8,97.8,96.7,96.81,96.81,96.95,486161,47084000.0,220,,478274.0,98.38,new
726GS2032,GS,2026-09-02,101.56,103.0,101.56,103.0,103.0,103.0,4400,451999.99999999994,3,,4400.0,100.0,new
726GS2033,GS,2026-09-02,102.0,103.0,101.7,102.55,102.55,104.0,22850,2339000.0,7,,8850.0,38.73,new
732GS2030,GS,2026-09-02,103.77,103.95,102.57,102.57,102.57,104.0,650,67000.0,4,,650.0,100.0,new
733GS2026,GS,2026-09-02,101.95,102.25,101.72,102.25,102.25,101.85,2200,224000.00000000003,7,,1500.0,68.18,new
734GS2064,GS,2026-09-02,99.0,99.0,98.76,98.83,98.83,99.1,166235,16441999.999999998,123,,166235.0,100.0,new
735NABAR31,N1,2026-09-02,1120.0,1138.45,1110.0,1110.0,1110.0,1115.0,1036,1169000.0,10,,1000.0,96.53,new
737GS2028,GS,2026-09-02,104.21,106.58,104.21,106.58,106.58,106.58,12814,1342000.0,23,,12814.0,100.0,new
738GS2027,GS,2026-09-02,102.4,102.7,102.4,102.63,102.63,102.4,168119,17243000.0,36,,168022.0,99.94,new
73GS2053,GS,2026-09-02,98.26,98.9,97.41,98.83,98.9,98.65,20989,2063000.0,26,,16727.0,79.69,new
741GS2036,GS,2026-09-02,104.8,104.9,104.4,104.4,104.85,105.0,37549,3926000.0,30,,37310.0,99.36,new
743GS2076,GS,2026-09-02,99.25,99.99,99.25,99.82,99.85,99.73,16473,1638000.0,16,,16473.0,100.0,new
746GS2073,GS,2026-09-02,101.0,104.0,101.0,101.5,101.5,101.5,8082,818000.0,6,,8082.0,100.0,new
74GS2062,GS,2026-09-02,103.0,103.89,102.99,102.99,102.99,103.95,208,21000.0,4,,208.0,100.0,new
754GS2036,GS,2026-09-02,106.38,106.38,106.0,106.08,106.05,106.08,323043,34270000.0,199,,304238.0,94.18,new
757GS2033,GS,2026-09-02,105.0,105.0,105.0,105.0,105.0,105.5,7765,815000.0,2,,7765.0,100.0,new
771GS2066,GS,2026-09-02,103.95,103.95,103.41,103.83,103.89,103.88,14517,1507000.0,31,,13890.0,95.68,new
897GS2030,GS,2026-09-02,111.0,111.5,111.0,111.5,111.5,112.0,2450,273000.0,7,,2450.0,100.0,new
92GS2030,GS,2026-09-02,117.49,117.49,113.93,116.98,116.98,115.5,152,17000.0,4,,150.0,98.68,new
A2ZINFRA,EQ,2026-09-02,16.16,16.8,16.11,16.4,16.5,16.66,167484,2747000.0,424,,111978.0,66.86,new
AAATECH,EQ,2026-09-02,93.79,95.77,93.01,93.07,93.75,93.72,9744,913000.0000000001,169,,8377.0,85.97,new
AADHARHFC,EQ,2026-09-02,478.5,478.5,465.0,475.4,476.0,476.45,240290,113903000.0,14622,,142844.0,59.45,new
AAKAAR,SM,2026-09-02,62.05,63.5,61.95,62.0,62.0,63.5,11200,698000.0,7,,8000.0,71.43,new
AAKASH,EQ,2026-09-02,8.8,8.87,8.52,8.67,8.72,8.68,72356,630000.0,273,,47527.0,65.68,new
AARADHYA,SM,2026-09-02,95.5,102.95,94.0,102.95,102.95,93.6,38400,3868000.0,31,,27600.0,71.88,new
AAREYDRUGS,EQ,2026-09-02,92.5,94.0,91.0,91.72,92.0,92.49,146358,13557000.0,1767,,77292.0,52.81,new
AARNAV,BE,2026-09-02,33.6,33.6,32.05,32.1,32.1,33.63,6179,199000.0,38,,,,new
AARON,EQ,2026-09-02,127.6,130.0,124.68,125.95,126.4,127.59,8560,1085000.0,403,,5360.0,62.62,new
AARTECH,BE,2026-09-02,48.0,50.0,48.0,49.81,49.99,48.94,68063,3382000.0,173,,,,new
AARTIDRUGS,EQ,2026-09-02,430.0,430.0,415.85,417.8,417.55,427.1,170806,71657000.0,6266,,94022.0,55.05,new
AARTIIND,EQ,2026-09-02,520.0,520.9,503.05,505.2,505.85,524.85,917705,468213000.0,30622,,473138.0,51.56,new
AARTIPHARM,EQ,2026-09-02,866.0,879.4,859.5,867.25,864.45,865.2,343720,298816000.0,19770,,119273.0,34.7,new
AARTISURF,BE,2026-09-02,507.0,539.9,502.0,526.05,525.55,514.45,22238,11500000.0,563,,,,new
AARVI,EQ,2026-09-02,148.94,149.0,142.2,143.08,143.27,148.92,29676,4276000.0,1038,,16193.0,54.57,new
AASTHA,EQ,2026-09-02,82.96,82.96,78.1,79.19,79.99,83.01,304911,24334000.0,3002,,153434.0,50.32,new
AAVAS,EQ,2026-09-02,1248.5,1287.6,1234.2,1258.7,1254.4,1248.4,229811,289446000.0,31542,,98749.0,42.97,new
ABAN,BE,2026-09-02,14.54,14.83,14.25,14.83,14.83,14.54,60782,896000.0000000001,230,,,,new
ABANSENT,EQ,2026-09-02,27.93,27.93,26.63,27.58,27.05,27.93,14689,401000.0,84,,13831.0,94.16,new
ABB,EQ,2026-09-02,7348.5,7447.5,7258.0,7447.5,7447.5,7396.0,163580,1201487000.0,24294,,81884.0,50.06,new
ABBOTINDIA,EQ,2026-09-02,26185.0,26265.0,25810.0,26045.0,26095.0,26135.0,7827,203992000.0,3968,,4046.0,51.69,new
ABCAPITAL,EQ,2026-09-02,390.0,397.05,385.1,397.05,397.05,394.45,4883439,1917483000.0000002,42390,,2810866.0,57.56,new
ABCOTS,EQ,2026-09-02,215.9,215.9,208.0,209.57,211.85,213.11,2466,520000.0,145,,1276.0,51.74,new
ABDL,EQ,2026-09-02,614.0,614.9,603.35,604.4,604.05,617.2,125467,76343000.0,7666,,61226.0,48.8,new
ABFRL,EQ,2026-09-02,51.1,51.29,50.2,50.47,50.75,51.1,4428051,224515000.0,20145,,2092206.0,47.25,new
ABGSEC,EQ,2026-09-02,113.68,114.75,113.51,113.51,113.51,113.68,44,5000.0,14,,42.0,95.45,new
ABH,ST,2026-09-02,89.35,89.35,89.35,89.35,89.35,94.05,1200,107000.0,1,,1200.0,100.0,new
ABHAPOWER,SM,2026-09-02,23.9,23.9,23.9,23.9,23.9,23.8,1600,38000.0,1,,1600.0,100.0,new
ABINFRA,BE,2026-09-02,11.03,11.39,11.03,11.27,11.39,11.32,87389,977999.9999999999,269,,,,new
ABLBL,EQ,2026-09-02,84.6,84.7,82.61,82.78,83.0,85.33,860340,71580000.0,12643,,537695.0,62.5,new
ABMINTLLTD,BE,2026-09-02,55.0,56.1,55.0,56.1,56.1,55.0,132,7000.000000000001,6,,,,new
ABMKNO,EQ,2026-09-02,190.91,191.86,190.0,190.9,190.9,186.74,1070,204000.0,24,,1010.0,94.39,new
ABREL,EQ,2026-09-02,1350.3,1350.3,1318.7,1331.1,1335.6,1357.0,84555,112772000.0,7680,,45090.0,53.33,new
ABSL10BANK,EQ,2026-09-02,168.0,168.02,167.74,167.74,167.74,168.36,34,6000.0,3,,34.0,100.0,new
ABSLAMC,EQ,2026-09-02,1025.3,1036.4,1007.5,1022.0,1036.4,1029.1,398572,406616000.0,13309,,320241.0,80.35,new
ABSLBANETF,EQ,2026-09-02,59.3,59.3,58.28,58.64,58.76,58.88,916157,53662000.0,329,,910461.0,99.38,new
ABSLLIQUID,EQ,2026-09-02,1000.01,1000.01,999.99,999.99,999.99,1000.0,1033,1033000.0,41,,726.0,70.28,new
ABSLMSCIN,EQ,2026-09-02,29.51,29.51,29.14,29.37,29.37,29.51,553,16000.0,14,,433.0,78.3,new
ABSLNN50ET,EQ,2026-09-02,78.33,78.33,75.75,77.04,77.0,76.79,19744,1506000.0,265,,17406.0,88.16,new
ABSLPSE,EQ,2026-09-02,10.17,10.17,9.97,10.07,10.01,10.05,186780,1880999.9999999998,1468,,91738.0,49.12,new
ABSMARINE,SM,2026-09-02,283.5,294.15,277.1,289.6,288.2,288.5,54500,15647000.0,92,,41000.0,75.23,new
ACC,EQ,2026-09-02,1271.0,1272.2,1252.9,1266.6,1267.0,1272.3,146429,185400000.0,13465,,83638.0,57.12,new
ACCELYA,EQ,2026-09-02,1137.9,1143.8,1125.6,1135.1,1133.3,1132.3,4566,5183000.0,428,,3068.0,67.19,new
ACCENTMIC,SM,2026-09-02,606.95,607.0,597.35,602.1,603.0,605.9,27000,16222999.999999998,48,,18500.0,68.52,new
ACCPL,ST,2026-09-02,203.0,205.0,203.0,205.0,205.0,207.0,2400,490000.00000000006,2,,2400.0,100.0,new
ACCURACY,BE,2026-09-02,4.29,4.29,4.16,4.26,4.27,4.21,57458,243000.00000000003,151,,,,new
ACE,EQ,2026-09-02,1087.0,1099.9,1073.8,1090.9,1097.2,1093.8,159180,172910000.0,13346,,66878.0,42.01,new
ACEINTEG,EQ,2026-09-02,17.45,17.67,17.01,17.27,17.31,17.63,5445,94000.0,92,,4042.0,74.23,new
ACETEC,SM,2026-09-02,135.0,139.0,135.0,139.0,139.0,139.0,2400,329000.0,2,,2400.0,100.0,new
ACGL,EQ,2026-09-02,1795.0,1809.8,1756.0,1760.0,1760.0,1787.8,629,1112000.0,145,,509.0,80.92,new
ACI,EQ,2026-09-02,490.0,501.0,484.15,494.1,493.35,492.65,635843,312527000.0,18077,,438899.0,69.03,new
ACL,EQ,2026-09-02,44.1,44.2,43.13,43.92,43.65,43.94,8724,382000.0,214,,4460.0,51.12,new
ACMESOLAR,EQ,2026-09-02,395.0,411.15,391.1,398.25,397.9,403.7,2449655,981928000.0000001,106139,,1028586.0,41.99,new
ACSTECH,BE,2026-09-02,50.94,51.5,50.02,51.25,50.7,50.94,59299,3035000.0,156,,,,new
ACTIVEINFR,SM,2026-09-02,172.5,172.5,172.5,172.5,172.5,172.5,600,104000.0,1,,600.0,100.0,new
ACUTAAS,EQ,2026-09-02,3161.1,3195.6,3120.0,3134.9,3147.5,3174.3,190272,598381000.0,23108,,117483.0,61.74,new
ADANIENSOL,EQ,2026-09-02,1374.6,1401.0,1348.0,1396.6,1396.6,1382.0,4214587,5807449000.0,106245,,2048674.0,48.61,new
ADANIENT,EQ,2026-09-02,2859.8,2905.0,2830.5,2891.8,2891.8,2863.9,1642492,4728769000.0,80452,,646254.0,39.35,new
