date,weekday,category,detail,reason
1995-01-26,Thursday,FIXED_HOLIDAY,Republic Day,
1995-02-27,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1995-03-17,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1995-04-13,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1995-04-14,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1995-05-01,Monday,FIXED_HOLIDAY,Maharashtra Day,
1995-05-11,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1995-08-10,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1995-08-15,Tuesday,FIXED_HOLIDAY,Independence Day,
1995-08-29,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1995-09-04,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1995-09-06,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1995-10-02,Monday,FIXED_HOLIDAY,Gandhi Jayanti,
1995-10-03,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1995-12-25,Monday,FIXED_HOLIDAY,Christmas,
1996-01-26,Friday,FIXED_HOLIDAY,Republic Day,
1996-02-21,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1996-03-05,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1996-03-20,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1996-04-05,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1996-08-15,Thursday,FIXED_HOLIDAY,Independence Day,
1996-10-02,Wednesday,FIXED_HOLIDAY,Gandhi Jayanti,
1996-10-21,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1996-10-30,Wednesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1996-11-12,Tuesday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1996-12-25,Wednesday,FIXED_HOLIDAY,Christmas,
1996-12-27,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1996-12-30,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1997-01-23,Thursday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1997-03-07,Friday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
1997-03-24,Monday,HOLIDAY_NON_FIXED,Market closed (404 on all URLs),
