date,tickers
2/1/2007,"AAPL,ADBE,ADSK,AEOS,AKAM,ALTR,AMAT,AMGN,AMLN,AMZN,APCC,APOL,ATVI,BBBY,BEAS,BIIB,BKNG,BMET,CDNS,CDWC,CELG,CHKP,CHRW,CKFR,COST,CSCO,CTAS,CTSH,CTXS,DELL,DISCA,DISCK,DISH,EA,EBAY,ERIC,ESRX,EXPD,EXPE,FAST,FI,FLEX,FOXA,GENZ,GILD,GOOGL,GRMN,HSIC,IACI,INFY,INTC,INTU,ISRG,JAVA,JNPR,JOYG,KLAC,LAMR,LBTYA,LLTC,LMCK,LOGI,LRCX,LVLT,MCHP,MDLZ,MEDI,MICC,MNST,MRVL,MSFT,NIHD,NLOK,NLTI,NTAP,NVDA,ORCL,PAYX,PCAR,PDCO,PETM,PTEN,QCOM,QRTEA,RIMM,ROST,SBUX,SEPR,SHLD,SIAL,SIRI,SNDK,SPLS,TEVA,TLAB,VRSN,VRTX,WFMI,WYNN,XLNX,XMSR,XRAY,YHOO"
2/14/2007,"AAPL,ADBE,ADSK,AEOS,AKAM,ALTR,AMAT,AMGN,AMLN,AMZN,APOL,ATVI,BBBY,BEAS,BIIB,BKNG,BMET,CDNS,CDWC,CELG,CHKP,CHRW,CKFR,COST,CSCO,CTAS,CTSH,CTXS,DELL,DISCA,DISCK,DISH,EA,EBAY,ERIC,ESRX,EXPD,EXPE,FAST,FI,FLEX,FOXA,GENZ,GILD,GOOGL,GRMN,HSIC,IACI,INFY,INTC,INTU,ISRG,JAVA,JNPR,JOYG,KLAC,LAMR,LBTYA,LLTC,LMCK,LOGI,LRCX,LVLT,MCHP,MDLZ,MEDI,MICC,MNST,MRVL,MSFT,NIHD,NLOK,NLTI,NTAP,NVDA,ORCL,PAYX,PCAR,PDCO,PETM,PTEN,QCOM,QRTEA,RIMM,ROST,RYAAY,SBUX,SEPR,SHLD,SIAL,SIRI,SNDK,SPLS,TEVA,TLAB,VRSN,VRTX,WFMI,WYNN,XLNX,XMSR,XRAY,YHOO"
3/8/2007,"AAPL,ADBE,ADSK,AKAM,ALTR,AMAT,AMGN,AMLN,AMZN,APOL,ATVI,BBBY,BEAS,BIIB,BKNG,BMET,CDNS,CDWC,CELG,CHKP,CHRW,CKFR,COST,CSCO,CTAS,CTSH,CTXS,DELL,DISCA,DISCK,DISH,EA,EBAY,ERIC,ESRX,EXPD,EXPE,FAST,FI,FLEX,FOXA,GENZ,GILD,GOOGL,GRMN,HSIC,IACI,INFY,INTC,INTU,ISRG,JAVA,JNPR,JOYG,KLAC,LAMR,LBTYA,LLTC,LMCK,LOGI,LRCX,LVLT,MCHP,MDLZ,MEDI,MICC,MNST,MRVL,MSFT,NIHD,NLOK,NLTI,NTAP,NVDA,ORCL,PAYX,PCAR,PDCO,PETM,PTEN,QCOM,QRTEA,RIMM,ROST,RYAAY,SBUX,SEPR,SHLD,SIAL,SIRI,SNDK,SPLS,TEVA,TLAB,UAUA,VRSN,VRTX,WFMI,WYNN,XLNX,XMSR,XRAY,YHOO"
6/1/2007,"AAPL,ADBE,ADSK,AKAM,ALTR,AMAT,AMGN,AMLN,AMZN,APOL,ATVI,BBBY,BEAS,BIIB,BKNG,BMET,CDNS,CDWC,CELG,CEPH,CHKP,CHRW,CKFR,COST,CSCO,CTAS,CTSH,CTXS,DELL,DISCA,DISCK,DISH,EA,EBAY,ERIC,ESRX,EXPD,EXPE,FAST,FI,FLEX,FOXA,GENZ,GILD,GOOGL,GRMN,HSIC,IACI,INFY,INTC,INTU,ISRG,JAVA,JNPR,JOYG,KLAC,LAMR,LBTYA,LLTC,LMCK,LOGI,LRCX,LVLT,MCHP,MDLZ,MICC,MNST,MRVL,MSFT,NIHD,NLOK,NLTI,NTAP,NVDA,ORCL,PAYX,PCAR,PDCO,PETM,PTEN,QCOM,QRTEA,RIMM,ROST,RYAAY,SBUX,SEPR,SHLD,SIAL,SIRI,SNDK,SPLS,TEVA,TLAB,UAUA,VRSN,VRTX,WFMI,WYNN,XLNX,XMSR,XRAY,YHOO"
7/12/2007,"AAPL,ADBE,ADSK,AKAM,ALTR,AMAT,AMGN,AMLN,AMZN,APOL,ATVI,BBBY,BEAS,BIIB,BKNG,CDNS,CDWC,CELG,CEPH,CHKP,CHRW,CKFR,COST,CSCO,CTAS,CTSH,CTXS,DELL,DISCA,DISCK,DISH,EA,EBAY,ERIC,ESRX,EXPD,EXPE,FAST,FI,FLEX,FOXA,FWLT,GENZ,GILD,GOOGL,GRMN,HSIC,IACI,INFY,INTC,INTU,ISRG,JAVA,JNPR,JOYG,KLAC,LAMR,LBTYA,LLTC,LMCK,LOGI,LRCX,LVLT,MCHP,MDLZ,MICC,MNST,MRVL,MSFT,NIHD,NLOK,NLTI,NTAP,NVDA,ORCL,PAYX,PCAR,PDCO,PETM,PTEN,QCOM,QRTEA,RIMM,ROST,RYAAY,SBUX,SEPR,SHLD,SIAL,SIRI,SNDK,SPLS,TEVA,TLAB,UAUA,VRSN,VRTX,WFMI,WYNN,XLNX,XMSR,XRAY,YHOO"
8/27/2007,"AAPL,ADBE,ADSK,AKAM,ALTR,AMAT,AMGN,AMLN,AMZN,APOL,ATVI,BBBY,BEAS,BIIB,BKNG,CDNS,CDWC,CELG,CEPH,CHKP,CHRW,CKFR,COST,CSCO,CTAS,CTSH,CTXS,DELL,DISCA,DISCK,DISH,EA,EBAY,ERIC,ESRX,EXPD,EXPE,FAST,FI,FLEX,FOXA,FWLT,GENZ,GILD,GOOGL,GRMN,HSIC,IACI,INFY,INTC,INTU,ISRG,JAVA,JNPR,JOYG,KLAC,LAMR,LBTYA,LLTC,LMCK,LOGI,LRCX,LVLT,MCHP,MDLZ,MICC,MNST,MRVL,MSFT,NIHD,NLOK,NTAP,NVDA,ORCL,PAYX,PCAR,PDCO,PETM,PTEN,QCOM,QRTEA,RIMM,ROST,RYAAY,SBUX,SEPR,SHLD,SIAL,SIRI,SNDK,SPLS,TEVA,TLAB,UAUA,VMED,VRSN,VRTX,WFMI,WYNN,XLNX,XMSR,XRAY,YHOO"
10/8/2007,"AAPL,ADBE,ADSK,AKAM,ALTR,AMAT,AMGN,AMLN,AMZN,APOL,ATVI,BBBY,BEAS,BIIB,BKNG,CDNS,CELG,CEPH,CHKP,CHRW,CKFR,COST,CSCO,CTAS,CTSH,CTXS,DELL,DISCA,DISCK,DISH,EA,EBAY,ERIC,ESRX,EXPD,EXPE,FAST,FI,FLEX,FOXA,FWLT,GENZ,GILD,GOOGL,GRMN,HSIC,IACI,INFY,INTC,INTU,ISRG,JAVA,JNPR,JOYG,KLAC,LAMR,LBTYA,LEAP,LLTC,LMCK,LOGI,LRCX,LVLT,MCHP,MDLZ,MICC,MNST,MRVL,MSFT,NIHD,NLOK,NTAP,NVDA,ORCL,PAYX,PCAR,PDCO,PETM,PTEN,QCOM,QRTEA,RIMM,ROST,RYAAY,SBUX,SEPR,SHLD,SIAL,SIRI,SNDK,SPLS,TEVA,TLAB,UAUA,VMED,VRSN,VRTX,WFMI,WYNN,XLNX,XMSR,XRAY,YHOO"
12/4/2007,"AAPL,ADBE,ADSK,AKAM,ALTR,AMAT,AMGN,AMLN,AMZN,APOL,ATVI,BBBY,BEAS,BIDU,BIIB,BKNG,CDNS,CELG,CEPH,CHKP,CHRW,COST,CSCO,CTAS,CTSH,CTXS,DELL,DISCA,DISCK,DISH,EA,EBAY,ERIC,ESRX,EXPD,EXPE,FAST,FI,FLEX,FOXA,FWLT,GENZ,GILD,GOOGL,GRMN,HSIC,IACI,INFY,INTC,INTU,ISRG,JAVA,JNPR,JOYG,KLAC,LAMR,LBTYA,LEAP,LLTC,LMCK,LOGI,LRCX,LVLT,MCHP,MDLZ,MICC,MNST,MRVL,MSFT,NIHD,NLOK,NTAP,NVDA,ORCL,PAYX,PCAR,PDCO,PETM,PTEN,QCOM,QRTEA,RIMM,ROST,RYAAY,SBUX,SEPR,SHLD,SIAL,SIRI,SNDK,SPLS,TEVA,TLAB,UAUA,VMED,VRSN,VRTX,WFMI,WYNN,XLNX,XMSR,XRAY,YHOO"
12/24/2007,"AAPL,ADBE,ADSK,AKAM,ALTR,AMAT,AMGN,AMLN,AMZN,APOL,ATVI,BBBY,BEAS,BIDU,BIIB,BKNG,CDNS,CELG,CEPH,CHKP,CHRW,COST,CSCO,CTAS,CTSH,CTXS,DELL,DISCA,DISCK,DISH,EA,EBAY,ESRX,EXPD,EXPE,FAST,FI,FLEX,FMCN,FOXA,FWLT,GENZ,GILD,GOOGL,GRMN,HANS,HOLX,HSIC,IACI,INFY,INTC,INTU,ISRG,JAVA,JNPR,JOYG,KLAC,LAMR,LBTYA,LEAP,LLTC,LMCK,LOGI,LRCX,LVLT,MCHP,MDLZ,MICC,MNST,MRVL,MSFT,NIHD,NLOK,NTAP,NVDA,ORCL,PAYX,PCAR,PDCO,PETM,QCOM,QRTEA,RIMM,RYAAY,SBUX,SHLD,SIAL,SIRI,SNDK,SPLS,SRCL,STLD,TEVA,TLAB,UAUA,VMED,VRSN,VRTX,WFMI,WYNN,XLNX,XRAY,YHOO"
4/30/2008,"AAPL,ADBE,ADSK,AKAM,ALTR,AMAT,AMGN,AMLN,AMZN,APOL,ATVI,BBBY,BIDU,BIIB,BKNG,CDNS,CELG,CEPH,CHKP,CHRW,COST,CSCO,CTAS,CTSH,CTXS,DELL,DISCA,DISCK,DISH,DTV,EA,EBAY,ESRX,EXPD,EXPE,FAST,FI,FLEX,FMCN,FOXA,FWLT,GENZ,GILD,GOOGL,GRMN,HANS,HOLX,HSIC,IACI,INFY,INTC,INTU,ISRG,JAVA,JNPR,JOYG,KLAC,LAMR,LBTYA,LEAP,LLTC,LMCK,LOGI,LRCX,LVLT,MCHP,MDLZ,MICC,MNST,MRVL,MSFT,NIHD,NLOK,NTAP,NVDA,ORCL,PAYX,PCAR,PDCO,PETM,QCOM,QRTEA,RIMM,RYAAY,SBUX,SHLD,SIAL,SIRI,SNDK,SPLS,SRCL,STLD,TEVA,TLAB,UAUA,VMED,VRSN,VRTX,WFMI,WYNN,XLNX,XRAY,YHOO"
5/19/2008,"AAPL,ADBE,ADSK,AKAM,ALTR,AMAT,AMGN,AMLN,AMZN,APOL,ATVI,BBBY,BIDU,BIIB,BKNG,CA,CDNS,CELG,CEPH,CHKP,CHRW,COST,CSCO,CTAS,CTSH,CTXS,DELL,DISCA,DISCK,DISH,DTV,EA,EBAY,ESRX,EXPD,EXPE,FAST,FI,FLEX,FMCN,FOXA,FWLT,GENZ,GILD,GOOGL,GRMN,HANS,HOLX,HSIC,IACI,INFY,INTC,INTU,ISRG,JAVA,JNPR,JOYG,KLAC,LAMR,LBTYA,LEAP,LLTC,LMCK,LOGI,LRCX,LVLT,MCHP,MDLZ,MICC,MNST,MRVL,MSFT,NIHD,NLOK,NTAP,NVDA,ORCL,PAYX,PCAR,PDCO,PETM,QCOM,QRTEA,RIMM,RYAAY,SBUX,SHLD,SIAL,SIRI,SNDK,SPLS,SRCL,STLD,TEVA,UAUA,VMED,VRSN,VRTX,WFMI,WYNN,XLNX,XRAY,YHOO"
7/21/2008,"AAPL,ADBE,ADSK,AKAM,ALTR,AMAT,AMGN,AMLN,AMZN,APOL,ATVI,BBBY,BIDU,BIIB,BKNG,CA,CDNS,CELG,CEPH,CHKP,CHRW,COST,CSCO,CTAS,CTSH,CTXS,DELL,DISCA,DISCK,DISH,DTV,EA,EBAY,ESRX,EXPD,EXPE,FAST,FI,FLEX,FLIR,FMCN,FOXA,FWLT,GENZ,GILD,GOOGL,GRMN,HANS,HOLX,HSIC,IACI,INFY,INTC,INTU,ISRG,JAVA,JNPR,JOYG,KLAC,LAMR,LBTYA,LEAP,LLTC,LMCK,LOGI,LRCX,LVLT,MCHP,MDLZ,MICC,MNST,MRVL,MSFT,NIHD,NLOK,NTAP,NVDA,ORCL,PAYX,PCAR,PDCO,PETM,QCOM,QRTEA,RIMM,RYAAY,SBUX,SHLD,SIAL,SIRI,SNDK,SPLS,SRCL,STLD,TEVA,VMED,VRSN,VRTX,WFMI,WYNN,XLNX,XRAY,YHOO"
